id;time_start;time_end;act;prev_act;next_act;contract_start;contract_end;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11
1;2020-09-30;2021-02-28;func_255;none;func_216;2020-09-21;2099-12-31;cat_2;cat_10;cat_110;cat_1;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569
1;2021-03-31;2021-12-31;func_216;func_255;none;2020-09-21;2099-12-31;cat_2;cat_10;cat_078;cat_1;cat_01;cat_4;cat_3;0.04;1;0.33;0.1549608
2;2020-09-30;2021-02-28;func_255;none;func_001;2020-09-21;2099-12-31;cat_2;cat_04;cat_213;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569
2;2021-03-31;2021-10-31;func_001;func_255;func_168;2020-09-21;2099-12-31;cat_2;cat_04;cat_213;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588
2;2021-11-30;2021-12-31;func_168;func_001;none;2020-09-21;2099-12-31;cat_2;cat_04;cat_213;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588
3;2021-09-30;2021-12-31;func_223;none;none;2021-09-16;2099-12-31;cat_2;cat_04;cat_224;cat_2;cat_01;cat_1;cat_3;0;1;0.5;0.1699346
4;2021-08-31;2021-12-31;func_255;none;none;2021-08-01;2099-12-31;cat_3;cat_02;cat_147;cat_1;cat_01;cat_4;cat_3;0;1;0.33;0.1437908
5;2021-08-31;2021-09-30;func_255;none;func_216;2021-08-01;2021-09-30;cat_3;cat_02;cat_093;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1437908
5;2021-10-31;2021-12-31;func_216;func_255;none;2021-10-01;2022-06-26;cat_2;cat_11;cat_093;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1437908
6;2020-12-31;2021-12-31;func_155;none;none;2020-12-01;2099-12-31;cat_3;cat_02;cat_148;cat_1;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569
7;2021-10-31;2021-12-31;func_216;none;none;2021-10-01;2099-12-31;cat_2;cat_10;cat_082;cat_1;cat_01;cat_4;cat_3;0;1;0.33;0.1437908
8;2021-12-31;2021-12-31;func_112;none;leave;2021-10-01;2099-12-31;cat_4;cat_05;cat_460;cat_2;cat_01;cat_4;cat_3;0;1;0.5;0.1666667
8;2021-12-31;2021-12-31;leave;func_112;none;2021-10-01;2099-12-31;cat_4;cat_05;cat_460;cat_2;cat_01;cat_4;cat_3;0;1;0.5;0.1666667
9;2021-12-31;2021-12-31;func_155;none;leave;2021-12-01;2099-12-31;cat_3;cat_09;cat_242;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1437908
9;2021-12-31;2021-12-31;leave;func_155;none;2021-12-01;2099-12-31;cat_3;cat_09;cat_242;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1437908
10;2020-07-31;2021-12-31;func_155;none;none;2020-07-16;2099-12-31;cat_3;cat_03;cat_365;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588
11;2021-09-30;2021-12-31;func_216;none;none;2021-09-01;2099-12-31;cat_2;cat_03;cat_363;cat_2;cat_01;cat_7;cat_3;0;1;0.33;0.1437908
